1,有理数,2020101010200,有理数
11,正数和负数,2020101010100,正数和负数
12,有理数,2020101010200,有理数
13,数轴,2020101010300,数轴
14,相反数,2020101010400,相反数
15,绝对值,2020101010500,绝对值
16,非负数的性质：绝对值,2020101010600,非负数的性质：绝对值
17,倒数,2020101010700,倒数
18,有理数大小比较,2020101010800,有理数大小比较
19,有理数的加法,2020101010900,有理数的加法
1A,有理数的减法,2020101011000,有理数的减法
1B,有理数的加减混合运算,2020101011102,有理数的加减混合运算
1C,有理数的乘法,2020101011200,有理数的乘法
1D,有理数的除法,2020101011300,有理数的除法
1E,有理数的乘方,2020101011400,有理数的乘方
1F,非负数的性质：偶次方,2020101011500,非负数的性质：偶次方
1G,有理数的混合运算,2020101011600,有理数的混合运算
1H,近似数和有效数字,2020101011800,近似数和有效数字
1I,科学记数法—表示较大的数,2020101011900,科学记数法—表示较大的数
1J,科学记数法—表示较小的数,2020101012000,科学记数法—表示较小的数
1K,科学记数法—原数,2020101012100,科学记数法—原数
1L,科学记数法与有效数字,2020101012200,科学记数法与有效数字
1M,计算器—基础知识,2020101012300,计算器—基础知识
1N,计算器—有理数,2020101012400,计算器—有理数
1O,数学常识,2020101012500,数学常识
1P,用数字表示事件,2020101012600,用数字表示事件
1Q,尾数特征,2020101012700,尾数特征
2,无理数与实数,,
21,平方根,2020101020100,平方根
22,算术平方根,2020101020200,算术平方根
23,非负数的性质：算术平方根,2020101020300,非负数的性质：算术平方根
24,立方根,2020101020400,立方根
25,计算器—数的开方,2020101020500,计算器—数的开方
26,无理数,2020101020600,无理数
27,实数,2020101020700,实数
28,实数的性质,2020101020800,实数的性质
29,实数与数轴,,
2A,实数大小比较,2020101020900,实数大小比较
2B,估算无理数的大小,2020101021000,估算无理数的大小
2C,实数的运算,2020101021101,实数的运算
2F,分数指数幂,2020101021200,分数指数幂
3,代数式,2020101030200,代数式
31,代数式,2020101030200,代数式
32,列代数式,2020101030300,列代数式
33,代数式求值,2020101030400,代数式求值
34,同类项,2020101040300,同类项
35,合并同类项,2020101040400,合并同类项
36,去括号与添括号,2020101040500,去括号与添括号
37,规律型：数字的变化类,2020101030500,规律探究：数字的变化类
38,规律型：图形的变化类,2020101030600,规律探究：图形的变化类
4,整式,2020101040000,整式
41,整式,2020101040100,整式的定义
42,单项式,2020101040200,单项式
43,多项式,2020101040600,多项式
44,整式的加减,2020101040700,整式的加减
45,整式的加减—化简求值,2020101040800,整式的加减—化简求值
46,同底数幂的乘法,2020101040901,同底数幂的乘法
47,幂的乘方与积的乘方,2020101041001,幂的乘方与积的乘方
48,同底数幂的除法,2020101041101,同底数幂的除法
49,单项式乘单项式,2020101041201,单项式乘单项式
4A,单项式乘多项式,2020101041301,单项式乘多项式
4B,多项式乘多项式,2020101041401,多项式乘多项式
4C,完全平方公式,2020101041501,完全平方公式
4D,完全平方公式的几何背景,2020101041600,完全平方公式的几何背景
4E,完全平方式,2020101041700,完全平方式
4F,平方差公式,2020101041801,平方差公式
4G,平方差公式的几何背景,2020101041900,平方差公式的几何背景
4H,整式的除法,2020101042000,整式的除法
4I,整式的混合运算,2020101042101,整式的混合运算
4J,整式的混合运算—化简求值,2020101042200,整式的混合运算—化简求值
5,因式分解,2020101050000,因式分解
51,因式分解的意义,2020101050100,因式分解的定义
52,公因式,2020101050200,公因式
53,因式分解-提公因式法,2020101050300,因式分解-提公因式法
54,因式分解-运用公式法,2020101050400,因式分解-运用公式法
55,提公因式法与公式法的综合运用,2020101050500,提公因式法与公式法的综合运用
56,因式分解-分组分解法,2020101050600,因式分解-分组分解法
57,因式分解-十字相乘法等,2020101050700,因式分解-十字相乘法等
58,实数范围内分解因式,2020101050800,实数范围内分解因式
59,因式分解的应用,2020101050900,因式分解的应用
6,分式,2020101060000,分式
61,分式的定义,2020101060100,分式的定义
62,分式有意义的条件,2020101060200,分式有意义的条件
63,分式的值为零的条件,2020101060300,分式的值为零的条件
64,分式的值,2020101060400,分式的值
65,分式的基本性质,2020101060502,分式的基本性质
66,约分,2020101060600,约分
67,通分,2020101060700,通分
68,最简分式,2020101060800,最简分式
69,最简公分母,2020101060900,最简公分母
6A,分式的乘除法,2020101061000,分式的乘除法
6B,分式的加减法,2020101061100,分式的加减法
6C,分式的混合运算,2020101061201,分式的混合运算
6D,分式的化简求值,2020101061300,分式的化简求值
6E,零指数幂,2020101061400,零指数幂
6F,负整数指数幂,2020101061501,负整数指数幂
6G,列代数式（分式）,2020101061600,列代数式（分式）
7,二次根式,2020101070000,二次根式
71,二次根式的定义,2020101070101,二次根式的定义
72,二次根式有意义的条件,2020101070200,二次根式有意义的条件
73,二次根式的性质与化简,2020101070300,二次根式的性质与化简
74,最简二次根式,2020101070400,最简二次根式
75,二次根式的乘除法,2020101070500,二次根式的乘除法
76,分母有理化,2020101070600,分母有理化
77,同类二次根式,2020101070700,同类二次根式
78,二次根式的加减法,2020101070800,二次根式的加减法
79,二次根式的混合运算,2020101070900,二次根式的混合运算
7A,二次根式的化简求值,2020101071000,二次根式的化简求值
7B,二次根式的应用,2020101071100,二次根式的应用
8,一元一次方程,2020102010000,一元一次方程
81,方程的定义,2020102010200,方程的定义
82,方程的解,2020102010300,方程的解
83,等式的性质,2020102010400,等式的性质
84,一元一次方程的定义,2020102010501,一元一次方程的定义
85,一元一次方程的解,2020102010600,一元一次方程的解
86,解一元一次方程,2020102010700,解一元一次方程
87,含绝对值符号的一元一次方程,2020102010800,含绝对值符号的一元一次方程
88,同解方程,2020102010900,同解方程
89,由实际问题抽象出一元一次方程,2020102010100,从实际问题到方程
8A,一元一次方程的应用,2020102011000,一元一次方程的应用
9,二元一次方程组,2020102020000,二元一次方程组
91,二元一次方程的定义,2020102020201,二元一次方程的定义
92,二元一次方程的解,2020102020301,二元一次方程的解
93,解二元一次方程,2020102020400,解二元一次方程
94,由实际问题抽象出二元一次方程,2020102020100,从实际问题到方程组
95,二元一次方程的应用,2020102020500,二元一次方程的应用
96,二元一次方程组的定义,2020102020602,二元一次方程组的定义
97,二元一次方程组的解,2020102020701,二元一次方程组的解
98,解二元一次方程组,2020102020800,解二元一次方程组
99,由实际问题抽象出二元一次方程组,2020102020900,二元一次方程组的应用
9A,二元一次方程组的应用,2020102020900,二元一次方程组的应用
9B,同解方程组,2020102021000,同解方程组
9C,解三元一次方程组,2020102021100,解三元一次方程组
9D,三元一次方程组的应用,2020102021200,三元一次方程组的应用
A,一元二次方程,2020102030000,一元二次方程
A1,一元二次方程的定义,2020102030201,一元二次方程的定义
A2,一元二次方程的一般形式,2020102030301,一元二次方程的一般形式
A3,一元二次方程的解,2020102030400,一元二次方程的解
A4,估算一元二次方程的近似解,2020102030500,估算一元二次方程的近似解
A5,解一元二次方程-直接开平方法,2020102030600,解一元二次方程-直接开平方法
A6,解一元二次方程-配方法,2020102030700,解一元二次方程-配方法
A7,解一元二次方程-公式法,2020102030800,解一元二次方程-公式法
A8,解一元二次方程-因式分解法,2020102030900,解一元二次方程-因式分解法
A9,换元法解一元二次方程,2020102031000,换元法解一元二次方程
AA,根的判别式,2020102031100,根的判别式
AB,根与系数的关系,2020102031200,根与系数的关系
AC,由实际问题抽象出一元二次方程,2020102030100,从实际问题到一元二次方程
AD,一元二次方程的应用,2020102031300,一元二次方程的应用
AE,配方法的应用,2020102031400,配方法的应用
AF,高次方程,2020102031500,高次方程
AG,无理方程,2020102031600,无理方程
B,分式方程,2020102040000,分式方程
B1,分式方程的定义,2020102040200,分式方程的定义
B2,分式方程的解,2020102040300,分式方程的解
B3,解分式方程,2020102040401,解分式方程
B4,换元法解分式方程,2020102040501,换元法解分式方程
B5,分式方程的增根,2020102040600,分式方程的增根
B6,由实际问题抽象出分式方程,2020102040100,从实际问题到分式方程
B7,分式方程的应用,2020102040700,分式方程的应用
C,不等式与不等式组,2020102050000,不等式与不等式组
C1,不等式的定义,2020102050201,不等式的定义
C2,不等式的性质,2020102050300,不等式的性质
C3,不等式的解集,2020102050402,不等式的解集
C4,在数轴上表示不等式的解集,2020102050501,在数轴上表示不等式的解集
C5,一元一次不等式的定义,2020102050601,一元一次不等式的定义
C6,解一元一次不等式,2020102050701,解一元一次不等式
C7,一元一次不等式的整数解,2020102050800,一元一次不等式的整数解
C8,由实际问题抽象出一元一次不等式,2020102050100,从实际问题到不等式
C9,一元一次不等式的应用,2020102050900,一元一次不等式的应用
CA,一元一次不等式组的定义,2020102051000,一元一次不等式组的定义
CB,解一元一次不等式组,2020102051101,解一元一次不等式组
CC,一元一次不等式组的整数解,2020102051200,一元一次不等式组的整数解
CD,由实际问题抽象出一元一次不等式组,2020102051300,一元一次不等式组的应用
CE,一元一次不等式组的应用,2020102051300,一元一次不等式组的应用
D,平面直角坐标系,,
D1,点的坐标,2020203010100,点的坐标
D2,规律型：点的坐标,2020203010200,规律探究：点的坐标
